ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
1,-0.18,5,-0.4,-0.26,0.53,-0.66,0.1,2,-0.2,1,0
2,-0.58,5,-0.52,-1.66,0.65,-0.15,0.08,3,3.03,-2,1
3,-0.62,5,-0.09,-0.38,0.65,0.22,0.44,4,1.49,1,0
4,-0.22,-3,1.64,-1.38,0.08,0.42,1.24,5,-0.34,0,1
5,0,5,1.76,-1.16,0.78,0.46,0.32,5,-0.51,-2,1
6,-0.12,1,-0.83,-1.86,0.95,-0.51,0.92,2,1.03,1,1
7,-0.02,-3,0.61,-0.28,0.41,-0.41,0.24,1,-1.26,-1,0
8,-0.51,-1,-0.73,-1.5,0.99,0.07,0.16,5,3.8,0,1
9,-0.42,5,0.3,-0.5,0.29,0.24,1.74,5,3.45,-2,0
10,-0.5,3,-0.45,-0.06,0.28,-0.44,0.32,2,-0.45,1,0
11,-0.24,5,1.37,-1.04,1,0.15,0.5,5,-3.05,1,1
12,-0.92,1,1.19,-1.6,0.65,-0.66,1,4,1.98,1,1
13,-0.21,1,-0.37,-0.64,0.77,0.05,0.74,3,3.46,-1,0
14,-0.92,5,-1.94,-1.72,0.06,-0.79,0.26,3,1.03,-1,1
15,-0.88,5,1.42,-1.7,0.69,0.35,0.42,4,-1.5,-2,1
16,-0.54,1,0.98,-1.58,0.06,-0.16,1.88,3,-2.47,-1,0
17,-0.64,-3,2.63,-0.66,0.77,0.32,0.2,3,2.75,-1,0
18,-0.52,1,-1.17,-1.34,0.8,0.14,0.48,4,1.84,0,1
19,-0.09,-1,-0.39,-0.98,0.33,0.64,0.34,1,0.13,-2,1
20,-0.46,5,0.47,-0.7,0.94,0.99,1.1,1,7.05,1,0
21,-0.39,5,-0.72,-1.62,0.54,0.65,0.96,5,0.54,-1,1
22,-0.3,-3,-0.92,-0.62,0.44,0.36,1.7,2,-2.06,0,0
23,-0.88,3,0.09,-0.6,0.49,-0.46,1.48,4,2.12,-1,0
24,-0.79,3,0.4,-1.28,0.64,-0.18,0.52,5,-1.36,0,1
25,-0.84,5,-0.58,-1.8,0.04,0.41,0.3,1,3.4,0,1
26,-0.81,1,-0.22,-0.78,0.62,-0.98,0.04,2,-0.39,-1,0
27,-0.23,1,-0.76,-0.24,0.46,-0.5,0.94,4,2.51,0,0
28,-0.53,-3,0.9,-0.94,0.14,-0.57,0.14,4,-0.6,-2,0
29,-0.05,5,-0.8,-0.82,0.2,0.74,1.12,3,-1.53,-2,0
30,-0.46,-3,-0.24,-1.8,0.7,0.53,1.5,3,4.24,1,1
31,-1,1,-0.26,-0.58,0.07,0.8,0.28,1,1.7,1,0
32,-0.63,-3,1.68,-0.44,0.03,-0.51,1.14,3,3.93,1,0
33,-0.16,5,-0.09,-2,0.68,-0.34,1.56,3,1.91,-2,1
34,-0.33,5,-0.31,-0.68,0.75,0.59,0.28,1,0.48,-1,0
35,-0.95,1,-0.67,-1.16,0.76,-0.45,1.8,3,1.37,-2,0
36,-0.26,-1,-1.31,-0.42,0.03,-0.16,1.14,2,1.1,-1,0
37,-0.23,3,2,-1.72,0.94,-0.35,1.04,1,1.91,0,1
38,-0.59,5,2,-1.8,0.59,-0.26,1.84,2,-4.07,1,0
39,-0.67,1,-0.5,-0.38,0.56,-0.07,1.7,3,3.38,-1,0
40,-0.29,-1,-1.46,-1.26,0.6,-0.68,1.88,1,-1.59,1,0
41,-0.01,3,-0.73,-1.3,0.03,0.66,0.24,3,3.47,0,1
42,-0.63,3,-0.01,-1.02,0.81,0.52,0.62,1,-0.38,1,1
43,-0.78,1,-1.38,-0.82,0.71,0.6,1.04,5,3.48,-1,0
44,-0.87,5,-1.54,-0.68,0.46,-0.97,0.86,5,2.09,-1,0
45,-0.41,3,2.36,-1.56,0.99,0.35,1.06,1,-1.3,-2,1
46,-0.66,1,-0.15,-0.44,0.69,0.42,0.82,3,1.35,-1,0
47,-0.86,3,0.72,-0.68,1,0.25,0.62,2,1.77,-1,0
48,-0.93,1,-0.89,-1.96,0.33,0.21,1.7,1,-1.74,0,1
49,-0.88,5,0.01,-1.24,0.8,0.26,1.08,1,3.12,0,1
50,-0.61,3,1.16,-0.92,0.88,-0.89,1.16,2,-1.88,-1,1
51,-0.82,-3,-0.36,-0.7,0.11,-0.87,1.76,1,0.14,0,0
52,-0.53,1,0.84,-0.8,0.41,-0.09,1.08,3,1.48,-1,0
53,-0.87,-3,-0.46,-1.12,0.1,0.79,1.92,4,1.06,1,0
54,-0.94,1,-0.42,-1.3,0.25,-0.86,0.88,3,4.1,-1,1
55,-0.68,1,-1.25,-1.36,0.34,0.98,0.1,5,2.87,1,1
56,-0.41,-3,0.63,-0.58,0.01,-0.78,1.66,1,2.98,-1,0
57,-0.27,-3,-0.76,-1.6,0.13,0,0.16,3,0.43,-1,1
58,-0.79,-3,0.56,-0.7,0.3,-0.85,1.62,2,1.39,1,0
59,-0.56,3,0.63,-1.8,0.88,0.49,0.56,4,0.61,-2,1
60,-0.16,-3,1.41,-0.5,0.31,0.06,1.08,2,2.86,-2,0
61,-0.03,-1,0.97,-0.8,0.63,0.43,0.02,1,0.85,0,0
62,-0.49,3,-0.07,-1.54,0.95,-0.75,0.52,1,1.03,0,1
63,-0.73,1,-0.42,-0.94,0.63,0.96,0.82,3,1.83,-2,0
64,-0.21,1,1.31,-1.94,0.53,0.06,1.4,2,2.24,-1,1
65,-0.2,3,-1.23,-1.16,0.9,0.62,1.12,5,-0.17,0,1
66,-0.35,-1,1.46,-1.52,0.98,-0.78,0.76,3,0.47,0,1
67,-0.75,-3,-0.8,-1.74,0.71,-0.68,1.72,2,-0.02,1,0
68,-0.67,-3,-0.55,-0.94,0.35,0.98,0.02,1,1.43,-2,0
69,-0.25,5,-0.71,-1.44,0.81,0.24,1.62,1,0.91,-1,0
70,-0.64,1,-0.89,-1.88,0.47,0.34,1.02,4,0.71,1,1
71,-0.39,1,-1.91,-0.62,0.39,-0.34,1.74,3,3.27,-2,0
72,-0.18,1,-1.78,-0.2,0.34,-0.86,1.62,3,2.91,-2,0
73,-0.03,3,0.63,-1,0.29,0.78,1.32,4,2.16,-2,1
74,-0.13,1,0.65,-1.78,0.08,0.13,0.9,4,1.11,-2,1
75,-0.6,5,1.08,-1.08,0.42,0.23,1.94,2,2.14,1,0
76,-0.25,3,1.18,-1.26,0.48,0.96,1.1,2,0.69,0,1
77,-0.4,3,0.09,-0.32,0.6,0.97,0.06,1,2,0,0
78,0,-3,0.39,-1.48,0.47,0.34,0.9,4,-2.03,-2,1
79,-0.57,1,1.66,-1.94,0.66,0.19,0.96,4,1.22,0,1
80,-0.63,-3,-0.67,-0.06,0.87,0.54,0.94,1,-1.56,0,0
81,-0.66,3,0.45,-1.68,0.24,0.67,0.7,3,0.64,0,1
82,-0.97,3,-2.14,-0.56,0.83,0.46,0.6,4,-0.89,-2,0
83,-0.8,3,-0.9,-1.2,0.11,0.32,0.46,1,-0.21,1,1
84,-0.08,-3,1.04,-0.66,0.73,0.6,0.88,5,1.64,-2,0
85,-0.58,-3,1.04,-0.92,0.89,-0.03,0.9,2,-0.51,-1,0
86,-0.52,-1,0.11,-0.82,0.5,-0.56,0.32,5,1.63,0,0
87,-0.95,5,0.75,-0.1,0.94,-0.18,1.96,2,1.16,1,0
88,-0.05,-3,-0.08,-0.72,0.01,0.71,1.88,5,1.25,-2,0
89,-0.76,1,0.59,-1.72,0.93,0.67,0.94,2,0,-2,1
90,-0.04,5,-2.02,-1.02,0.63,-0.34,0.12,2,1.18,1,1
91,-0.81,-1,-1.36,-0.76,0.51,-0.25,1.12,4,1.25,-1,0
92,-0.74,-1,0.86,-0.66,0.49,0.6,1.52,5,1.49,0,0
93,-0.73,-3,1.39,-1.72,0.47,0.43,0.42,1,5.24,1,1
94,-0.56,5,1.25,-0.1,0.87,0.63,1.16,2,1.18,-1,0
95,-0.4,-3,0.32,-1.04,0.91,-0.56,0.26,1,2.22,1,1
96,-0.05,-3,0.88,-1.04,0.12,-0.75,1.02,3,0.06,1,1
97,-0.48,3,0.95,-1.24,0.9,0.62,0.48,1,-1.86,-2,1
98,-0.22,3,-0.03,-1.66,0.96,0.47,1.7,2,2.93,-2,0
99,-0.19,1,-0.14,-0.6,0.85,0.91,1,4,1.7,0,0
100,-0.49,5,-0.98,-1.38,0.89,-0.33,1.8,3,1.04,-1,0
101,-0.98,1,0.04,-1.04,0.32,-0.86,1.9,4,1.79,1,0
102,-0.27,-3,-1.18,-1.52,0.36,-0.15,1.16,3,0.63,-2,1
103,-0.64,-3,0.64,-0.84,0.2,0.92,1.58,4,-0.07,-1,0
104,-0.82,-1,1.93,-1.32,0.47,-0.87,0.94,1,0.48,-2,1
105,-0.57,3,0.32,-1.52,0.76,-0.66,1.92,4,-0.18,0,0
106,-0.67,-1,-0.38,-1.24,0.72,0.51,1.44,2,2.84,-1,1
107,-0.21,-1,0.51,-1.4,0.9,-0.41,1.42,2,-0.26,1,1
108,-0.11,-3,0.89,-1.34,0.3,-0.6,1.3,5,2.48,-2,1
